author_name,affiliation,city,country,publication_date,title,latitude,longitude,cluster
Igbinovia F.,Univerzita Pardubice,Pardubice,Czech Republic,2017-12-29,Product value chain in a tertiary institution: The need for MCDM,50.0385812,15.7791356,0
Sun Y.,University of Jinan,Jinan,China,2017-12-29,Thermal damage mitigating model of steam turbine for the rolling process,36.6519754,117.1138479,2
Yan N.,"Shandong Electric Power Engineering Consulting Institute Co., Ltd.",Jinan,China,2017-12-29,Optimal allocation of SPD in low voltage distribution system based on particle swarm optimization,36.6519754,117.1138479,2
Xu P.,Tongji University,Shanghai,China,2017-12-29,Nonblocking networked control of discrete event systems,31.2312707,121.4700152,2
Liu P.,Chongqing University of Posts and Telecommunications,Chongqing,China,2017-12-29,Slack variable-based control variable parameterization method for constrained engineering optimization,30.05518,107.8748712,2
He P.,State Grid Anhui Electric Power Company,Hefei,China,2017-12-29,Multivariable constrained predictive control method based on MHE of circulating fluidized bed boiler unit,31.8665676,117.281428,2
Wang B.,Qingdao University of Science and Technology,Qingdao,China,2017-12-29,Maximum power point tracking photovoltaic power generation based on adaptive disturbance observer,36.0637967,120.3192081,2
Zhou C.,Shandong University,Jinan,China,2017-12-29,Finite element modeling of compliance matrix and measurement of residual stress in EW75M plates,36.6519754,117.1138479,2
Tian C.,Shandong University,Jinan,China,2017-12-29,Ambient humidity detection for bridge engineering using a DFB-LD based first-harmonic sensor,36.6519754,117.1138479,2
Zhang A.,State Grid Shandong Electric Power Company,Linyi,China,2017-12-29,Research of battery management system for integrated power supply,35.1032403,118.3506988,2
Sha L.,Qingdao University of Science and Technology,Qingdao,China,2017-12-29,Real-time estimation of traffic retention based on M/G/n/0 queuing model,36.0637967,120.3192081,2
Yang S.Y.,Hefei University of Technology,Hefei,China,2017-12-29,A new vector control strategy of induction motor based on iron loss model,31.8665676,117.281428,2
Ding X.,Centre for System Intelligence and Efficiency,Singapore City,Singapore,2017-12-29,A Low-order hybrid dynamic model for evaporators,1.2899175,103.8519072,7
Ding X.,Shandong Jianzhu University,Jinan,China,2017-12-29,A Low-order hybrid dynamic model for evaporators,36.6519754,117.1138479,2
Yin X.,Qingdao University of Science and Technology,Qingdao,China,2017-12-29,Temperature controller design for vapor compression refrigeration cycle systems,36.0637967,120.3192081,2
Shi Z.,Naval University of Engineering,Wuhan,China,2017-12-29,Research on the aiming point configuration method of the future airspace window,30.5951051,114.2999353,2
